Date,Gemini,GDAX,Coinbase,Kraken,Poloniex,Bitstamp
2017-12-06 06-AM,12296.38,12299.99,12299.99,12250,12230,12230
2017-12-06 05-AM,12221.03,12239.99,12239.99,12232.3,12200.43,12200.43
2017-12-06 04-AM,12230,12250.01,12250.01,12230,12251,12251
2017-12-06 03-AM,12140.99,12160.64,12160.64,12101.2,12151.49,12151.49
2017-12-06 02-AM,12000,11964.63,11964.63,11860,11949.89,11949.89
2017-12-06 01-AM,11854.32,11862.99,11862.99,11843,11833.73,11833.73
2017-12-06 12-AM,11711.2,11718.35,11718.35,11736.2,11677,11677
2017-12-05 11-PM,11770.01,11780.01,11780.01,11747,11720.02,11720.02
2017-12-05 10-PM,11789.5,11810.1,11810.1,11777.6,11771.94,11771.94
2017-12-05 09-PM,11800.51,11807.87,11807.87,11757.6,11778.08,11778.08
2017-12-05 08-PM,11762.5,11791,11791,11759.9,11724.71,11724.71
2017-12-05 07-PM,11734,11790,11790,11736.8,11690,11690
2017-12-05 06-PM,11724.99,11780,11780,11760.7,11643.8,11643.8
2017-12-05 05-PM,11667.36,11700.01,11700.01,11699.8,11649.61,11649.61
2017-12-05 04-PM,11832.63,11848.99,11848.99,11849.7,11801.1,11801.1
2017-12-05 03-PM,11797.51,11803.02,11803.02,11790.4,11751.72,11751.72
2017-12-05 02-PM,11769.74,11771.88,11771.88,11731.1,11680.65,11680.65
2017-12-05 01-PM,11763.52,11787.31,11787.31,11699.9,11660,11660
2017-12-05 12-PM,11717.67,11715,11715,11687.9,11652.65,11652.65
2017-12-05 11-AM,11679.29,11676.59,11676.59,11660,11604,11604
2017-12-05 10-AM,11722.17,11700,11700,11700,11649.2,11649.2
2017-12-05 09-AM,11846.75,11794.15,11794.15,11790.1,11745.46,11745.46
2017-12-05 08-AM,11825.81,11789.35,11789.35,11778,11728.14,11728.14
2017-12-05 07-AM,11620.02,11630,11630,11600.8,11559.95,11559.95
2017-12-05 06-AM,11575.01,11603.41,11603.41,11580,11499.74,11499.74
2017-12-05 05-AM,11547.01,11578.32,11578.32,11521,11500,11500
2017-12-05 04-AM,11626.56,11635.97,11635.97,11585.8,11598.17,11598.17
2017-12-05 03-AM,11575.01,11574.36,11574.36,11559.8,11512.85,11512.85
2017-12-05 02-AM,11604.93,11590,11590,11582.4,11555,11555
2017-12-05 01-AM,11638.49,11627.49,11627.49,11630.3,11578.84,11578.84
2017-12-05 12-AM,11668.84,11643.98,11643.98,11638,11613.07,11613.07
2017-12-04 11-PM,11520,11511.5,11511.5,11463.1,11475.07,11475.07
2017-12-04 10-PM,11545.89,11500,11500,11525,11470.98,11470.98
2017-12-04 09-PM,11468.98,11445.01,11445.01,11498,11399.99,11399.99
2017-12-04 08-PM,11256.85,11303.02,11303.02,11278.2,11190.16,11190.16
2017-12-04 07-PM,11203.18,11305,11305,11238.2,11189.39,11189.39
2017-12-04 06-PM,11277.12,11318.72,11318.72,11356.1,11254.45,11254.45
2017-12-04 05-PM,11274.78,11300,11300,11318.2,11251.68,11251.68
2017-12-04 04-PM,11392.25,11416.01,11416.01,11395,11342.56,11342.56
2017-12-04 03-PM,11430.51,11440.13,11440.13,11500,11360,11360
2017-12-04 02-PM,11265.59,11302.51,11302.51,11317.3,11218.17,11218.17
2017-12-04 01-PM,11219.54,11244.42,11244.42,11279.1,11168.4,11168.4
2017-12-04 12-PM,11211.39,11245.49,11245.49,11280,11141.25,11141.25
2017-12-04 11-AM,11361.87,11370,11370,11393.9,11368.2,11368.2
2017-12-04 10-AM,11380.23,11392.02,11392.02,11438,11385,11385
2017-12-04 09-AM,11538.48,11536.65,11536.65,11543.3,11544.95,11544.95
2017-12-04 08-AM,11571.29,11589.98,11589.98,11545,11582,11582
2017-12-04 07-AM,11426.13,11449,11449,11449.7,11439.95,11439.95
2017-12-04 06-AM,11439.17,11445.01,11445.01,11480,11445,11445
2017-12-04 05-AM,11499.31,11499.99,11499.99,11530,11493.7,11493.7
2017-12-04 04-AM,11399.99,11420,11420,11370,11384.25,11384.25
2017-12-04 03-AM,11296.19,11302.8,11302.8,11292,11261.57,11261.57
2017-12-04 02-AM,11437.89,11449.99,11449.99,11400.7,11383,11383
2017-12-04 01-AM,11305.17,11327.75,11327.75,11224,11273.99,11273.99
2017-12-04 12-AM,11231.21,11290,11290,11235.1,11250,11250
2017-12-03 11-PM,11101,11219.99,11219.99,11042.5,11127.88,11127.88
2017-12-03 10-PM,10984.77,11065,11065,10896.9,10940,10940
2017-12-03 09-PM,11331.68,11350,11350,11394,11301,11301
2017-12-03 08-PM,11761.7,11767.35,11767.35,11613.1,11725,11725
2017-12-03 07-PM,11735.19,11779.99,11779.99,11596.7,11725,11725
2017-12-03 06-PM,11691.62,11735,11735,11615,11662.95,11662.95
2017-12-03 05-PM,11666.72,11695.37,11695.37,11585.9,11669.57,11669.57
2017-12-03 04-PM,11731,11755,11755,11695,11744.22,11744.22
2017-12-03 03-PM,11652.76,11635.99,11635.99,11558.5,11600,11600
2017-12-03 02-PM,11698,11680,11680,11590,11650.3,11650.3
2017-12-03 01-PM,11666.09,11643,11643,11548.6,11601,11601
2017-12-03 12-PM,11616.72,11546.99,11546.99,11553,11584.34,11584.34
2017-12-03 11-AM,11134.55,11130.01,11130.01,11129.9,11099.05,11099.05
2017-12-03 10-AM,11122.84,11130.01,11130.01,11093.8,11090,11090
2017-12-03 09-AM,11150.03,11152.01,11152.01,11087.5,11136.9,11136.9
2017-12-03 08-AM,11176.41,11168.5,11168.5,10970.1,11164.84,11164.84
2017-12-03 07-AM,11111.12,11099.96,11099.96,11110,11118.8,11118.8
2017-12-03 06-AM,11069.99,11063.88,11063.88,11010.8,11060,11060
2017-12-03 05-AM,11087.78,11070,11070,11063,11118.17,11118.17
2017-12-03 04-AM,10954.92,10978.2,10978.2,10924.4,10999,10999
2017-12-03 03-AM,10943.41,10938.18,10938.18,10900,10942.69,10942.69
2017-12-03 02-AM,10943.41,10929.94,10929.94,10950,10940.24,10940.24
2017-12-03 01-AM,10943.41,10901.99,10901.99,10860,10894.9,10894.9
2017-12-03 12-AM,10888.01,10930.23,10930.23,10901,10872,10872
2017-12-02 11-PM,10964.87,10986.01,10986.01,10898.9,10949.1,10949.1
2017-12-02 10-PM,11023.5,11020,11020,11020.2,11035,11035
2017-12-02 09-PM,10960,10967.54,10967.54,10891,10950.04,10950.04
2017-12-02 08-PM,10923.25,10935,10935,10857,10888,10888
2017-12-02 07-PM,10930.01,10942.01,10942.01,10935.1,10900.01,10900.01
